year,output
1949 ,1 
1950 ,2 
1951 ,3 
1952 ,4 
1953 ,5 
1954 ,7 
1955 ,8 
1956 ,11 
1957 ,15 
1958 ,19 
1959 ,27 
1960 ,41 
1961 ,30 
1962 ,46 
1963 ,65 
1964 ,101 
1965 ,173 
1966 ,241 
1967 ,164 
1968 ,111 
1969 ,175 
1970 ,244 
1971 ,299 
1972 ,370 
1973 ,459 
1974 ,422 
1975 ,525 
1976 ,524 
1977 ,724 
1978 ,869 
1979 ,1065 
1980 ,1232 
1981 ,1239 
1982 ,1278 
1983 ,1379 
1984 ,1460 
1985 ,1322 
1986 ,1396 
1987 ,1672 
1988 ,1740 
1989 ,1803 
1990 ,1880 
1991 ,1980 
1992 ,2048 
1993 ,1956 
1994 ,2273 
1995 ,2548 
1996 ,2809 
1997 ,2821 
1998 ,3010 
1999 ,3251 
2000 ,3186 
2001 ,3383 
2002 ,3791 
2003 ,3881 
2004 ,4805 
2005 ,5178 
2006 ,5345 
2007 ,5825 
2008 ,6013 
