,1993,1994,1995,1996,1997,1998,1999,2000,,,,,
1,977.5,1192.2,1602.2,1909.1,2288.5,2549.5,2662.1,2774.7,,,,,
2,892.5,1162.7,1491.5,1911.2,2213.5,2306.4,2538.4,2805,,,,,
3,942.3,1167.5,1533.3,1860.1,2130.9,2279.7,2403.1,2627,,,,,
4,941.3,1170.4,1548.7,1854.8,2100.5,2252.7,2356.8,2572,,,,,
5,962.2,1213.7,1585.4,1898.3,2108.2,2265.2,2364,2637,,,,,
6,1005.7,1281.1,1639.7,1966,2164.7,2326,2428.8,2645,,,,,
7,963.8,1251.5,1623.6,1888.7,2102.5,2286.1,2380.3,2597,,,,,
8,959.8,1286,1637.1,1916.4,2104.4,2314.6,2410.9,2636,,,,,
9,1023.3,1396.2,1756,2083.5,2239.6,2443.1,2604.3,2854,,,,,
10,1051.1,1444.1,1818,2148.3,2348,2536,2743.9,3029,,,,,
11,1102,1553.8,1935.2,2290.1,2454.9,2652.2,2781.5,3108,,,,,
12,1415.5,1932.2,2389.5,2848.6,2881.7,3131.4,3405.7,3680,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
