日期,出口总额_当期值
2000年12月,21986149
2001年1月,16926471
2001年2月,19198624
2001年3月,23139003
2001年4月,22792181
2001年5月,20813507
2001年6月,22081032
2001年7月,22887692
2001年8月,23540123
2001年9月,23989367
2001年10月,22790526
2001年11月,24000007
2001年12月,24502579
2002年1月,21703291
2002年2月,19137164
2002年3月,23817766
2002年4月,26723688
2002年5月,24644182
2002年6月,26012762
2002年7月,29209981
2002年8月,29437423
2002年9月,31910755
2002年10月,29946376
2002年11月,31209190
2002年12月,31889489
2003年1月,29775788
2003年3月,32091277
2003年4月,35617074
2003年5月,33842228
2003年6月,34475859
2003年7月,38109608
2003年8月,37415036
2003年9月,41940698
2003年10月,40925906
2003年11月,41761968
2003年12月,48061529
2004年1月,35712196
2004年2月,34157738
2004年3月,45847915
2004年4月,47124115
2004年5月,44867889
2004年6月,50496344
2004年7月,51003919
2004年8月,51400194
2004年9月,55803041
2004年10月,52523879
2004年11月,60925461
2004年12月,63784483
2005年1月,50755189
2005年2月,44273164
2005年3月,60869119
2005年4月,62151250
2005年5月,58426919
2005年6月,65959601
2005年7月,65584266
2005年8月,68399603
2005年9月,70185509
2005年10月,68092010
2005年11月,72217762
2005年12月,75412367
2006年1月,64988815
2006年2月,54108294
2006年3月,78045837
2006年4月,76948177
2006年5月,73113881
2006年6月,81311219
2006年7月,80337153
2006年8月,90766001
2006年9月,91629488
2006年10月,88127371
2006年11月,95854497
2006年12月,94094055
2007年1月,86619731
2007年2月,82095593
2007年3月,83424155
2007年4月,97449955
2007年5月,94065041
2007年6月,103268286
2007年7月,107744104
2007年8月,111354781
2007年9月,112373049
2007年10月,107723989
2007年11月,117620807
2007年12月,114415986
2008年1月,109640030
2008年2月,87367796
2008年3月,108962891
2008年4月,118771084
2008年5月,120496491
2008年6月,121179554
2008年7月,136675046
2008年8月,134872675
2008年9月,136432088
2008年10月,128327028
2008年11月,114987285
2008年12月,111157222
2009年1月,90453600
2009年2月,64894649
2009年3月,90290547
2009年4月,91934722
2009年5月,88757886
2009年6月,95512025
2009年7月,105420240
2009年8月,103707009
2009年9月,115937994
2009年10月,110762383
2009年11月,113653429
2009年12月,130723881
2010年1月,109475299
2010年2月,94522714
2010年3月,112111793
2010年4月,119920666
2010年5月,131760663
2010年6月,137395578
2010年7月,145519322
2010年8月,139302230
2010年9月,144985285
2010年10月,135978419
2010年11月,153325762
2010年12月,154148895
2011年1月,150734151
2011年2月,96736127
2011年3月,152199071
2011年4月,155684084
2011年5月,157157191
2011年6月,161980774
2011年7月,175128036
2011年8月,173315697
2011年9月,169673012
2011年10月,157490772
2011年11月,174464123
2011年12月,174717651
2012年1月,149939113
2012年2月,114470693
2012年3月,165658100
2012年4月,163251712
2012年5月,181140762
2012年6月,180204470
2012年7月,176940032
2012年8月,177973297
2012年9月,186349509
2012年10月,175571102
2012年11月,179380767
2012年12月,199229682
2013年1月,187365572
2013年2月,139367235
2013年3月,182189999
2013年4月,187061474
2013年5月,182766116
2013年6月,174315796
2013年7月,185991317
2013年8月,190608317
2013年9月,185643576
2013年10月,185405576
2013年11月,202204803
2013年12月,207742423
2014年1月,207132123
2014年2月,114093694
2014年3月,170107988
2014年4月,188540548
2014年5月,195472920
2014年6月,186788537
2014年7月,212891063
2014年8月,208465863
2014年9月,213687462
2014年10月,206866715
,
,
